Correct,Close based on performance
0.7694444444444445,0.9611111111111111
0.7638888888888888,0.95
0.7472222222222222,0.9611111111111111
0.75,0.9611111111111111
0.7638888888888888,0.9527777777777777
0.725,0.9638888888888889
0.7277777777777777,0.9638888888888889
0.7583333333333333,0.9611111111111111
0.7527777777777778,0.9833333333333333
0.7527777777777778,0.9638888888888889
0.7111111111111111,0.9611111111111111
0.7361111111111112,0.9361111111111111
0.7472222222222222,0.9416666666666667
0.7222222222222222,0.9611111111111111
0.7833333333333333,0.9694444444444444
0.7861111111111111,0.9527777777777777
0.7833333333333333,0.9805555555555555
0.8027777777777778,0.9944444444444445
0.7694444444444445,0.9694444444444444
0.7888888888888889,0.9944444444444445
0.8055555555555556,0.9944444444444445
0.7638888888888888,0.9694444444444444
0.7277777777777777,0.9861111111111112
0.7638888888888888,0.9694444444444444
0.75,0.9611111111111111
0.7305555555555555,0.9361111111111111
0.7361111111111112,0.9527777777777777
0.7333333333333333,0.9638888888888889
0.7361111111111112,0.9583333333333334
0.725,0.9333333333333333
0.7166666666666667,0.9305555555555556
0.7027777777777777,0.9611111111111111
0.7583333333333333,0.9666666666666667
0.725,0.9805555555555555
0.725,0.95
0.7944444444444444,0.95
0.7194444444444444,0.9472222222222222
0.7305555555555555,0.9472222222222222
0.7444444444444445,0.9638888888888889
0.725,0.9472222222222222
0.7555555555555555,0.9638888888888889
0.7555555555555555,0.9666666666666667
0.7555555555555555,0.9833333333333333
0.7694444444444445,0.9666666666666667
0.7694444444444445,0.9555555555555556
0.7388888888888889,0.9777777777777777
0.775,0.9638888888888889
0.7916666666666666,1
0.7666666666666667,0.9777777777777777
0.7777777777777778,0.9611111111111111
0.7305555555555555,0.9527777777777777
0.7416666666666667,0.9694444444444444
0.7333333333333333,0.9583333333333334
0.7472222222222222,0.9527777777777777
0.7611111111111111,0.9777777777777777
0.7388888888888889,0.9694444444444444
0.7333333333333333,0.975
0.7,0.9472222222222222
0.7444444444444445,0.9611111111111111
0.775,0.9666666666666667
0.7611111111111111,0.9527777777777777
0.7416666666666667,0.9666666666666667
0.6555555555555556,0.8916666666666667
0.7972222222222223,0.9666666666666667
0.7194444444444444,0.9527777777777777
0.7333333333333333,0.9638888888888889
0.7722222222222223,0.9833333333333333
0.7277777777777777,0.9055555555555556
0.7305555555555555,0.9583333333333334
0.7583333333333333,0.9722222222222222
0.7055555555555556,0.9555555555555556
0.7138888888888889,0.9277777777777778
0.7277777777777777,0.9472222222222222
0.7416666666666667,0.9638888888888889
0.7611111111111111,0.9777777777777777
0.7444444444444445,0.9638888888888889
0.75,0.9444444444444444
0.6972222222222222,0.95
0.7777777777777778,0.975
0.7666666666666667,0.9694444444444444
0.725,0.9388888888888889
0.7277777777777777,0.9555555555555556
0.7194444444444444,0.9388888888888889
0.7444444444444445,0.9694444444444444
0.8083333333333333,0.9805555555555555
0.7916666666666666,0.9583333333333334
0.7361111111111112,0.9611111111111111
0.7222222222222222,0.9722222222222222
0.7027777777777777,0.9
0.7916666666666666,0.9805555555555555
0.7027777777777777,0.9138888888888889
0.75,0.9611111111111111
0.7333333333333333,0.9666666666666667
0.725,0.9694444444444444
0.6666666666666666,0.9416666666666667
0.7333333333333333,0.9611111111111111
0.7416666666666667,0.975
0.7166666666666667,0.9333333333333333
